"Date","Building","Strategy","MAPE"
2013-04-17,"BRI","GTR & DUTY",0.182530281141333
2013-04-19,"BRI","GTR & DUTY",0.0621045645747768
2013-04-23,"BRI","GTR & DUTY",0.17662702410386
2013-04-25,"BRI","GTR & DUTY",0.0897981624973958
2013-10-22,"BRI","GTR",0.0918335956481227
2013-10-24,"BRI","GTR",0.116361335003892
2013-10-28,"BRI","DUTY",0.0663683840242388
2013-11-01,"BRI","DUTY",0.0671289406128871
2013-11-05,"BRI","DUTY",0.0508305130855082
2013-11-07,"BRI","DUTY",0.101595583728251
2013-11-11,"BRI","GTR & DUTY",0.159586765313301
2013-11-13,"BRI","GTR & DUTY",0.134302938214286
2013-11-15,"BRI","GTR & DUTY",0.183903819387019
2013-11-19,"BRI","GTR & DUTY",0.0539322022378663
2013-11-21,"BRI","GTR & DUTY",0.148219220369734
2013-12-02,"BRI","GTR",0.0975974878242953
2013-12-06,"BRI","GTR",0.0690783553298992
2013-03-20,"DRB","GTR",0.0935301031588665
2013-03-22,"DRB","GTR",0.128535155103553
2013-03-26,"DRB","GTR",0.142658445805819
2013-03-28,"DRB","GTR",0.133813019368253
2013-04-01,"DRB","VFD",0.0619206878263021
2013-04-03,"DRB","VFD",0.0789466079551831
2013-04-05,"DRB","VFD",0.0588489372204553
2013-04-09,"DRB","VFD",0.0714307338669588
2013-04-11,"DRB","VFD",0.0837123855515774
2013-04-15,"DRB","GTR & VFD",0.181879567656843
2013-04-17,"DRB","GTR & VFD",0.0459509934954818
2013-04-19,"DRB","GTR & VFD",0.0451829316910045
2013-04-23,"DRB","GTR & VFD",0.0926319313679275
2013-04-25,"DRB","GTR & VFD",0.0568123264017052
2013-09-23,"DRB","GTR",0.109335332831156
2013-10-22,"DRB","GTR",0.0872624884884414
2013-10-24,"DRB","GTR",0.113737852310242
2013-10-28,"DRB","VFD",0.0495512543074842
2013-11-01,"DRB","VFD",0.0578562262859423
2013-11-05,"DRB","VFD",0.0346248958419024
2013-11-07,"DRB","VFD",0.0407114952616639
2013-11-11,"DRB","GTR & VFD",0.0852267068767321
2013-11-13,"DRB","GTR & VFD",0.0344181139801791
2013-11-15,"DRB","GTR & VFD",0.0976632913473106
2013-11-19,"DRB","GTR & VFD",0.0878436286907579
2013-11-21,"DRB","GTR & VFD",0.0814177604666158
2013-12-02,"DRB","GTR",0.0958041713304159
2013-12-04,"DRB","GTR",0.115340262065348
2013-12-06,"DRB","GTR",0.100296916347749
2013-03-04,"EEB","VFD",0.0950513634798799
2013-03-06,"EEB","VFD",0.0638217124589926
2013-03-08,"EEB","VFD",0.0438932654805348
2013-03-12,"EEB","VFD",0.328460201424827
2013-09-24,"EEB","VFD",0.0722576032476725
2013-09-26,"EEB","VFD",0.0773829019907021
2013-10-22,"EEB","VFD",0.047182539119583
2013-10-24,"EEB","VFD",0.106652348945122
2013-10-28,"EEB","VFD",0.0386957149265721
2013-11-01,"EEB","VFD",0.0694747860266516
2013-02-25,"GFS","GTR",0.0412020900450213
2013-02-27,"GFS","GTR",0.0582449631445025
2013-03-01,"GFS","GTR",0.05620621826259
2013-03-04,"GFS","VFD",0.0583596162213439
2013-03-06,"GFS","VFD",0.0490121232763093
2013-03-08,"GFS","VFD",0.0681347375007334
2013-03-12,"GFS","VFD",0.0674397046992165
2013-03-20,"GFS","GTR & VFD",0.085691178316929
2013-03-22,"GFS","GTR & VFD",0.0884603668941483
2013-03-26,"GFS","GTR & VFD",0.0946387381142216
2013-03-28,"GFS","GTR & VFD",0.13239095216866
2013-04-01,"GFS","GTR",0.0511725546452838
2013-04-03,"GFS","GTR",0.0370931688109148
2013-04-05,"GFS","GTR",0.143180818274587
2013-04-09,"GFS","GTR",0.0422662384937414
2013-04-11,"GFS","GTR",0.0385415939688517
2013-09-23,"GFS","VFD",0.191015332084226
2013-09-26,"GFS","GTR & VFD",0.193676156486937
2013-10-22,"GFS","GTR",0.0643968816082025
2013-10-24,"GFS","GTR",0.107492832642074
2013-10-28,"GFS","VFD",0.122134894539638
2013-11-01,"GFS","VFD",0.221841068832011
2013-11-05,"GFS","VFD",0.104967616862786
2013-11-07,"GFS","VFD",0.104807559596163
2013-11-11,"GFS","GTR & VFD",0.147803365076731
2013-11-13,"GFS","GTR & VFD",0.135871345910297
2013-11-15,"GFS","GTR & VFD",0.309120779427752
2013-11-19,"GFS","GTR & VFD",0.17248339303683
2013-11-21,"GFS","GTR & VFD",0.115835037121555
2013-12-02,"GFS","GTR",0.03593560464032
2013-12-04,"GFS","GTR",0.043053101174404
2013-12-06,"GFS","GTR",0.0387908463120139
2013-03-18,"HAR","VFD",0.10615254680479
2013-03-20,"HAR","VFD",0.0329590176260965
2013-03-22,"HAR","VFD",0.0399257696221405
2013-03-26,"HAR","VFD",0.0322266842568134
2013-03-28,"HAR","VFD",0.030113241231735
2013-04-01,"HAR","DUTY",0.072708378206169
2013-04-03,"HAR","DUTY",0.0566132544912825
2013-04-05,"HAR","DUTY",0.0442759949680849
2013-04-09,"HAR","DUTY",0.0441518241128481
2013-04-11,"HAR","DUTY",0.0540329474038601
2013-04-15,"HAR","VFD & DUTY",0.0445538132698905
2013-04-17,"HAR","VFD & DUTY",0.10951557303504
2013-04-19,"HAR","VFD & DUTY",0.0694699670034832
2013-04-23,"HAR","VFD & DUTY",0.0646087859367328
2013-04-25,"HAR","VFD & DUTY",0.0355068487873223
2013-10-22,"HAR","VFD",0.0251173827939811
2013-10-24,"HAR","VFD",0.0544456405839489
2013-10-28,"HAR","DUTY",0.0742832502070437
2013-11-01,"HAR","DUTY",0.0931985204071651
2013-11-05,"HAR","DUTY",0.0994524975654779
2013-11-07,"HAR","DUTY",0.0318532101222985
2013-11-11,"HAR","VFD & DUTY",0.0479720678905885
2013-11-13,"HAR","VFD & DUTY",0.0308424789106212
2013-11-15,"HAR","VFD & DUTY",0.0362050780846866
2013-11-19,"HAR","VFD & DUTY",0.0554555282165777
2013-11-21,"HAR","VFD & DUTY",0.039606689332658
2013-12-02,"HAR","VFD",0.0335830181936247
2013-12-04,"HAR","VFD",0.0370622884130164
2013-12-06,"HAR","VFD",0.028720858322703
2013-02-25,"HOH","GTR",0.0239276262107882
2013-02-27,"HOH","GTR",0.0198155194009118
2013-03-01,"HOH","GTR",0.0148507467914003
2013-03-04,"HOH","VFD",0.0552020100963198
2013-03-06,"HOH","VFD",0.0469361844919185
2013-03-08,"HOH","VFD",0.12832930299775
2013-03-12,"HOH","VFD",1.15167103746582
2013-03-18,"HOH","GTR & VFD",0.291536021715618
2013-03-20,"HOH","GTR & VFD",0.162397659101837
2013-03-22,"HOH","GTR & VFD",0.195399497139064
2013-03-26,"HOH","GTR & VFD",0.0778031434376724
2013-03-28,"HOH","GTR & VFD",0.124869777605601
2013-04-01,"HOH","GTR",0.0139907558616783
2013-04-03,"HOH","GTR",0.0195723200690366
2013-04-05,"HOH","GTR",0.042785492664516
2013-04-09,"HOH","GTR",0.0268663718145075
2013-04-11,"HOH","GTR",0.0221870435587293
2013-09-24,"HOH","VFD",0.0374875898612968
2013-09-26,"HOH","VFD",0.056828072033773
2013-10-22,"HOH","GTR",0.051048925113098
2013-10-24,"HOH","GTR",0.0243653926065721
2013-10-28,"HOH","VFD",0.0669558509658959
2013-11-01,"HOH","VFD",0.158274919166985
2013-11-05,"HOH","VFD",0.187853164634799
2013-11-07,"HOH","VFD",0.151307854416422
2013-11-11,"HOH","GTR & VFD",0.129443142828703
2013-11-13,"HOH","GTR & VFD",0.0606026161995229
2013-11-15,"HOH","GTR & VFD",0.0978751366474107
2013-11-19,"HOH","GTR & VFD",0.133095073447961
2013-11-21,"HOH","GTR & VFD",0.143639152500234
2013-12-02,"HOH","GTR",0.022548920398191
2013-12-06,"HOH","GTR",0.108835295272318
2013-01-23,"HSH","GTR",0.0475519241271074
2013-01-25,"HSH","GTR",0.0933769117116137
2013-01-29,"HSH","GTR",0.0543691293934925
2013-01-31,"HSH","GTR",0.0795670465596919
2013-02-04,"HSH","VFD",0.350611167987971
2013-02-06,"HSH","VFD",0.359435563286885
